"Precinct","Registered","Ballots Cast","Donald J. Trump","Hillary Rodham Clinton","Percent Trump","Percent Clinton","Voter turnout","Democrat minus Republican"
1002,0,0,0,0,0,0,0,0
1004,0,0,0,0,0,0,0,0
1006,0,0,0,0,0,0,0,0
1008,0,0,0,0,0,0,0,0
1010,0,0,0,0,0,0,0,0
1012,0,0,0,0,0,0,0,0
1014,0,0,0,0,0,0,0,0
1016,1,0,0,0,0,0,0,0
1018,2440,1939,1254,609,64.6725116,31.40794224,79.46721311,-33.26456936
1020,0,0,0,0,0,0,0,0
1022,2568,2027,1269,656,62.60483473,32.36309817,78.93302181,-30.24173656
1024,7,4,2,2,50,50,57.14285714,0
1026,1255,989,601,352,60.76845298,35.59150657,78.80478088,-25.17694641
1028,1951,1551,964,514,62.15344939,33.13990974,79.49769349,-29.01353965
1030,75,63,36,24,57.14285714,38.0952381,84,-19.04761904
1032,1146,928,577,312,62.17672414,33.62068966,80.97731239,-28.55603448
1034,473,428,277,139,64.71962617,32.47663551,90.48625793,-32.24299066
1036,0,0,0,0,0,0,0,0
1038,2725,2205,1294,790,58.68480726,35.8276644,80.91743119,-22.85714286
1040,897,768,439,293,57.16145833,38.15104167,85.6187291,-19.01041666
1042,0,0,0,0,0,0,0,0
1044,578,387,57,315,14.72868217,81.39534884,66.9550173,66.66666667
1046,573,364,111,237,30.49450549,65.10989011,63.52530541,34.61538462
1048,1182,924,528,362,57.14285714,39.17748918,78.17258883,-17.96536796
1050,1466,1246,679,504,54.49438202,40.4494382,84.99317872,-14.04494382
1052,2997,2235,1155,945,51.67785235,42.28187919,74.57457457,-9.39597316
1054,2423,1953,1078,784,55.19713262,40.14336918,80.60255881,-15.05376344
1056,1583,1188,609,504,51.26262626,42.42424242,75.0473784,-8.83838384
1058,2284,1746,862,786,49.36998855,45.01718213,76.44483363,-4.35280642
1060,267,168,95,58,56.54761905,34.52380952,62.92134831,-22.02380953
1062,2324,1861,1055,697,56.68995164,37.45298227,80.07745267,-19.23696937
1064,257,204,110,86,53.92156863,42.15686275,79.37743191,-11.76470588
1066,0,0,0,0,0,0,0,0
1068,1905,1397,771,567,55.1896922,40.58697208,73.33333333,-14.60272012
1070,221,160,80,68,50,42.5,72.39819005,-7.5
1072,2427,1945,1073,789,55.16709512,40.5655527,80.14009065,-14.60154242
1074,3319,2734,1442,1158,52.74323336,42.35552304,82.3742091,-10.38771032
1076,1758,1365,668,619,48.93772894,45.34798535,77.64505119,-3.58974359
1078,1595,1298,822,411,63.32819723,31.66409861,81.37931034,-31.66409862
1080,300,245,155,80,63.26530612,32.65306122,81.66666667,-30.6122449
1082,289,235,137,86,58.29787234,36.59574468,81.31487889,-21.70212766
1084,64,52,39,8,75,15.38461538,81.25,-59.61538462
1088,70,63,44,15,69.84126984,23.80952381,90,-46.03174603
1094,1964,1547,865,606,55.91467356,39.17259211,78.76782077,-16.74208145
1096,157,129,79,45,61.24031008,34.88372093,82.1656051,-26.35658915
1098,967,758,463,259,61.0817942,34.16886544,78.38676319,-26.91292876
1100,1221,890,461,389,51.79775281,43.70786517,72.89107289,-8.08988764
1102,2245,1685,889,714,52.75964392,42.37388724,75.05567929,-10.38575668
1104,1411,1057,546,446,51.65562914,42.1948912,74.91141035,-9.46073794
1106,1187,957,531,391,55.48589342,40.85684431,80.62342039,-14.62904911
1108,1866,1457,745,647,51.13246397,44.40631434,78.08145766,-6.72614963
1110,323,247,126,102,51.01214575,41.29554656,76.47058824,-9.71659919
1112,122,91,60,26,65.93406593,28.57142857,74.59016393,-37.36263736
1114,543,454,307,129,67.62114537,28.41409692,83.60957643,-39.20704845
1116,0,0,0,0,0,0,0,0
1118,641,450,250,175,55.55555556,38.88888889,70.20280811,-16.66666667
1120,384,306,205,91,66.99346405,29.73856209,79.6875,-37.25490196
1122,158,129,90,39,69.76744186,30.23255814,81.64556962,-39.53488372
